Fid,age,gender,lunch,parental_level_of_education,degree_t,race_ethnicity,test_preparation_course,math_score,reading_score,writing_score,Internships,solving_tasks_by_time,taks_submitted_on_date,Label
216.58.219.202-10.42.0.151-443-44686-6,22,male,free/reduced,associate's degree,Comm&Mgmt,group C,completed,60,51,56,1,0,1,0
10.42.0.42-108.174.10.10-42841-443-6,21,male,standard,high school,Comm&Mgmt,group E,completed,87,91,81,1,0,0,1
10.42.0.211-23.208.168.108-41282-443-6,21,male,standard,some high school,Comm&Mgmt,group B,completed,84,83,75,1,0,1,0
219.142.78.162-10.42.0.151-80-54646-6,21,female,free/reduced,associate's degree,Comm&Mgmt,group E,completed,83,86,88,3,0,1,0
162.208.22.39-10.42.0.151-443-54608-6,21,female,free/reduced,high school,Others,group C,none,34,42,39,1,1,0,0
172.217.11.3-10.42.0.42-443-52108-6,22,male,free/reduced,high school,Comm&Mgmt,group B,none,66,77,70,1,0,0,0
10.42.0.151-10.42.0.1-28090-53-17,21,male,standard,some high school,Sci&Tech,group B,completed,61,56,56,2,1,1,0
10.42.0.211-123.125.29.220-37911-80-6,22,female,standard,high school,Comm&Mgmt,group D,completed,56,68,74,1,0,1,0
10.42.0.151-10.42.0.1-33030-53-17,22,male,standard,associate's degree,Comm&Mgmt,group B,none,87,85,73,2,0,1,1
172.217.5.228-10.42.0.151-443-58943-6,21,female,free/reduced,some high school,Comm&Mgmt,group C,none,55,65,62,1,1,1,0
10.42.0.42-106.39.162.36-41049-80-6,22,male,standard,some high school,Comm&Mgmt,group D,none,86,80,75,0,0,1,1
10.42.0.42-106.39.169.66-43528-443-6,22,female,standard,associate's degree,Comm&Mgmt,group B,completed,52,66,73,0,0,1,0
10.42.0.42-123.125.29.220-55722-80-6,21,female,free/reduced,master's degree,Others,group E,none,45,56,54,0,1,0,1
169.55.67.237-10.42.0.211-5222-46721-6,21,female,standard,master's degree,Comm&Mgmt,group C,none,72,72,71,1,1,1,0
172.217.10.110-10.42.0.151-443-59772-6,21,male,standard,high school,Comm&Mgmt,group D,none,57,50,54,2,0,1,0
206.126.112.141-10.42.0.42-443-52954-6,21,male,free/reduced,some high school,Sci&Tech,group A,none,68,72,64,1,1,1,0
205.204.101.196-10.42.0.211-443-40740-6,22,female,standard,master's degree,Sci&Tech,group C,completed,88,95,94,0,1,1,0
173.194.66.188-10.42.0.151-5228-51776-6,22,male,standard,master's degree,Others,group D,none,76,64,66,1,0,1,0
10.42.0.211-64.71.142.124-43396-443-6,22,male,standard,associate's degree,Comm&Mgmt,group C,none,46,43,42,1,0,1,0
10.42.0.211-23.23.129.231-39028-443-6,21,female,standard,bachelor's degree,Comm&Mgmt,group B,none,67,86,83,0,0,1,1
198.11.132.221-10.42.0.211-443-39949-6,22,male,standard,some high school,Comm&Mgmt,group E,none,92,87,78,1,0,1,0
175.100.207.232-10.42.0.42-80-40335-6,21,male,standard,bachelor's degree,Sci&Tech,group C,completed,83,82,84,0,0,1,0
182.22.31.252-10.42.0.211-443-48462-6,22,male,standard,associate's degree,Others,group D,none,80,75,77,1,0,1,0
157.55.130.155-10.42.0.211-40008-60774-17,22,male,free/reduced,bachelor's degree,Comm&Mgmt,group D,none,63,66,67,1,0,0,1
10.42.0.211-31.13.71.52-34886-443-6,21,female,standard,some high school,Sci&Tech,group D,completed,64,60,74,2,0,1,1
10.42.0.211-119.146.74.33-45946-443-6,21,male,standard,master's degree,Comm&Mgmt,group B,none,54,52,51,1,1,0,1
172.217.7.228-10.42.0.151-443-38793-6,21,male,standard,associate's degree,Comm&Mgmt,group C,none,84,80,80,1,1,1,0
10.42.0.211-23.21.172.210-36346-443-6,22,male,free/reduced,high school,Comm&Mgmt,group D,completed,73,68,66,1,0,1,0
205.204.101.47-10.42.0.42-443-54225-6,22,female,standard,bachelor's degree,Comm&Mgmt,group E,none,80,83,83,0,1,0,0
174.35.73.107-10.42.0.211-80-38981-6,21,female,standard,high school,Comm&Mgmt,group D,none,56,52,55,2,1,0,0
151.101.21.140-10.42.0.211-443-45852-6,22,male,standard,master's degree,Comm&Mgmt,group E,none,59,51,43,0,1,1,1
10.42.0.211-52.26.15.212-32774-443-6,21,male,standard,some high school,Comm&Mgmt,group D,none,75,74,69,1,0,0,0
172.217.11.46-10.42.0.42-80-53519-6,21,male,standard,associate's degree,Comm&Mgmt,group C,none,85,76,71,2,0,0,0
172.217.12.206-10.42.0.151-443-34073-6,21,male,standard,associate's degree,Comm&Mgmt,group E,none,89,76,74,1,1,1,1
10.42.0.151-10.42.0.1-8691-53-17,22,female,standard,high school,Sci&Tech,group B,completed,58,70,68,0,0,1,0
10.42.0.211-65.55.223.31-60774-40015-17,22,female,standard,high school,Comm&Mgmt,group B,none,65,64,62,1,0,1,0
172.217.6.206-10.42.0.42-443-59545-6,22,male,standard,high school,Comm&Mgmt,group C,none,68,60,53,0,0,1,0
182.22.25.252-10.42.0.211-443-38735-6,21,male,standard,some high school,Comm&Mgmt,group A,completed,47,49,49,3,0,1,1
10.42.0.211-23.194.142.7-36997-443-6,21,female,free/reduced,master's degree,Sci&Tech,group D,none,71,83,83,0,0,1,0
183.56.172.140-10.42.0.151-80-59439-6,22,female,standard,some high school,Comm&Mgmt,group B,completed,60,70,70,0,0,0,0
172.217.3.110-10.42.0.151-443-56137-6,22,male,standard,master's degree,Sci&Tech,group D,none,80,80,72,1,0,0,1
10.42.0.151-10.42.0.1-28905-53-17,22,male,standard,high school,Sci&Tech,group D,none,54,52,52,1,1,1,0
172.217.10.10-10.42.0.151-443-58552-6,22,female,standard,master's degree,Comm&Mgmt,group E,none,62,73,70,1,1,1,0
172.217.12.202-10.42.0.151-443-49016-6,22,female,free/reduced,associate's degree,Comm&Mgmt,group C,none,64,73,68,1,1,0,0
10.42.0.151-61.135.185.139-49807-80-6,21,male,standard,associate's degree,Sci&Tech,group C,completed,78,77,77,2,0,1,0
10.42.0.42-104.254.66.16-56932-80-6,22,female,standard,master's degree,Sci&Tech,group B,none,70,75,78,1,0,1,1
183.79.249.252-10.42.0.211-443-32873-6,22,female,free/reduced,master's degree,Sci&Tech,group C,completed,65,81,81,0,0,1,0
10.42.0.211-54.236.100.208-40077-443-6,22,female,free/reduced,some high school,Comm&Mgmt,group C,completed,64,79,77,1,1,1,0
183.136.237.235-10.42.0.211-80-46162-6,21,male,standard,master's degree,Comm&Mgmt,group C,completed,79,79,78,1,0,1,1
172.217.12.195-10.42.0.151-443-56454-6,21,female,free/reduced,some high school,Comm&Mgmt,group C,none,44,50,51,1,0,0,0
157.240.18.19-10.42.0.211-443-59001-6,22,female,standard,high school,Comm&Mgmt,group E,none,99,93,90,0,1,0,0
221.228.208.97-10.42.0.42-80-39668-6,21,male,standard,high school,Comm&Mgmt,group D,none,76,73,68,0,0,0,0
10.42.0.211-10.42.0.1-52792-53-17,21,male,free/reduced,some high school,Sci&Tech,group D,none,59,42,41,1,0,0,0
180.163.255.159-10.42.0.211-80-48966-6,21,female,standard,bachelor's degree,Sci&Tech,group C,none,63,75,81,1,0,1,0
10.42.0.211-31.13.69.229-47392-443-6,22,female,standard,high school,Comm&Mgmt,group D,none,69,72,77,1,1,0,0
10.42.0.211-77.234.44.201-42601-80-6,21,female,standard,associate's degree,Comm&Mgmt,group D,completed,88,92,95,1,0,1,1
192.229.173.173-10.42.0.211-80-44540-6,22,female,free/reduced,master's degree,Sci&Tech,group E,none,71,76,70,2,0,1,0
10.42.0.151-10.42.0.1-59171-53-17,21,male,standard,bachelor's degree,Comm&Mgmt,group C,none,69,63,61,0,1,1,1
10.42.0.211-10.42.0.1-22651-53-17,22,male,standard,master's degree,Comm&Mgmt,group C,none,58,49,42,1,1,1,0
183.79.250.251-10.42.0.151-443-37631-6,21,female,free/reduced,associate's degree,Others,group D,none,47,53,58,0,0,0,1
192.229.173.173-10.42.0.151-80-39779-6,22,female,standard,master's degree,Comm&Mgmt,group D,none,65,70,71,0,0,1,0
202.77.129.150-10.42.0.151-80-39297-6,21,male,standard,master's degree,Sci&Tech,group B,completed,88,85,76,1,0,0,0
205.204.101.182-10.42.0.211-443-55476-6,22,male,standard,bachelor's degree,Comm&Mgmt,group C,none,83,78,73,0,1,1,0
10.42.0.255-10.42.0.1-8612-8612-17,21,female,standard,some high school,Sci&Tech,group C,completed,85,92,93,0,0,1,0
182.22.31.252-10.42.0.211-443-54130-6,21,female,standard,high school,Comm&Mgmt,group E,completed,59,63,75,1,1,1,1
172.217.10.106-10.42.0.211-443-38988-6,21,female,free/reduced,some high school,Comm&Mgmt,group C,none,65,86,80,1,0,1,1
192.229.173.173-10.42.0.211-80-39739-6,21,male,free/reduced,bachelor's degree,Others,group B,none,73,56,57,0,0,1,0
10.42.0.151-74.125.29.113-44129-443-6,21,male,standard,high school,Comm&Mgmt,group D,none,53,52,42,2,0,1,1
10.42.0.211-66.102.255.61-38596-443-6,22,male,standard,high school,Comm&Mgmt,group D,none,45,48,46,1,1,1,1
10.42.0.151-10.42.0.1-17576-53-17,21,female,free/reduced,bachelor's degree,Comm&Mgmt,group D,none,73,79,84,0,1,1,1
10.42.0.211-10.42.0.1-33458-53-17,21,female,free/reduced,master's degree,Comm&Mgmt,group D,completed,70,78,78,0,1,0,1
10.42.0.211-10.42.0.1-24499-53-17,22,female,standard,some high school,Comm&Mgmt,group B,none,37,46,46,0,0,1,0
180.149.136.194-10.42.0.151-80-54144-6,21,male,standard,associate's degree,Comm&Mgmt,group B,completed,81,82,82,1,1,0,1
10.42.0.211-10.42.0.1-25526-53-17,21,male,standard,associate's degree,Sci&Tech,group E,completed,97,82,88,2,1,1,0
10.42.0.211-106.11.135.2-54385-80-6,22,female,standard,some high school,Comm&Mgmt,group B,none,67,89,82,0,0,1,0
10.42.0.1-10.42.0.42-53-35214-17,21,male,free/reduced,bachelor's degree,Comm&Mgmt,group B,none,88,75,76,0,0,1,0
10.42.0.151-10.42.0.1-38991-53-17,22,male,standard,some high school,Comm&Mgmt,group E,completed,77,76,77,0,0,1,1
10.42.0.211-77.234.42.92-50874-443-6,22,male,standard,associate's degree,Sci&Tech,group C,none,76,70,68,0,0,1,0
10.42.0.42-106.39.169.66-57125-80-6,22,male,standard,some high school,Comm&Mgmt,group D,none,86,73,70,1,1,1,0
10.42.0.211-66.231.239.122-44738-80-6,22,male,standard,some high school,Comm&Mgmt,group C,completed,63,60,57,2,1,1,1
10.42.0.151-31.13.80.52-55511-80-6,22,female,standard,bachelor's degree,Sci&Tech,group E,none,65,73,75,0,0,0,0
172.217.5.227-10.42.0.211-443-44323-6,21,male,free/reduced,high school,Comm&Mgmt,group D,completed,78,77,80,0,0,1,0
10.42.0.42-64.71.142.95-48476-443-6,21,male,free/reduced,associate's degree,Comm&Mgmt,group B,none,67,62,60,0,0,0,0
172.217.9.237-10.42.0.42-443-45324-6,22,male,standard,some high school,Others,group A,completed,46,41,43,2,0,0,0
10.42.0.151-40.117.100.83-36994-443-6,22,male,standard,associate's degree,Comm&Mgmt,group E,completed,71,74,68,2,0,0,1
172.217.3.110-10.42.0.211-443-40560-6,22,male,free/reduced,high school,Sci&Tech,group C,completed,40,46,50,1,1,1,0
10.42.0.1-10.42.0.42-53-5458-17,21,male,free/reduced,associate's degree,Comm&Mgmt,group D,none,90,87,75,2,0,1,0
10.42.0.211-98.139.199.204-41286-443-6,22,male,free/reduced,master's degree,Sci&Tech,group A,completed,81,78,81,0,0,1,1
174.35.73.149-10.42.0.211-80-59293-6,22,male,free/reduced,some high school,Sci&Tech,group D,none,56,54,52,1,0,1,0
172.217.12.196-10.42.0.211-443-57526-6,21,female,standard,associate's degree,Comm&Mgmt,group C,completed,67,84,81,0,0,0,0
10.42.0.211-10.42.0.1-65082-53-17,21,male,standard,associate's degree,Comm&Mgmt,group B,none,80,76,64,0,0,0,0
10.42.0.42-104.244.42.65-48234-80-6,22,female,standard,associate's degree,Sci&Tech,group C,completed,74,75,83,1,0,1,0
173.241.242.143-10.42.0.42-443-52397-6,22,male,standard,master's degree,Comm&Mgmt,group A,none,69,67,69,0,0,1,0
172.217.12.163-10.42.0.211-443-43530-6,22,male,standard,master's degree,Sci&Tech,group E,completed,99,87,81,2,0,1,0
10.42.0.151-106.39.169.66-44473-80-6,22,male,standard,some high school,Comm&Mgmt,group C,none,51,52,44,0,0,1,1
10.42.0.211-104.254.66.16-48279-80-6,22,female,free/reduced,associate's degree,Sci&Tech,group B,none,53,71,67,1,1,1,0
162.208.22.39-10.42.0.211-443-35853-6,21,female,free/reduced,high school,Comm&Mgmt,group D,none,49,57,52,0,0,1,1
172.217.12.193-10.42.0.42-443-37285-6,21,female,standard,associate's degree,Comm&Mgmt,group B,none,73,76,80,1,0,1,0
162.208.22.39-10.42.0.151-443-55412-6,22,male,standard,bachelor's degree,Sci&Tech,group B,none,66,60,57,2,0,1,1
10.42.0.211-10.42.0.1-53109-53-17,22,male,standard,bachelor's degree,Comm&Mgmt,group D,completed,67,61,68,1,1,1,0
10.42.0.42-103.43.91.12-55284-443-6,22,female,free/reduced,associate's degree,Comm&Mgmt,group C,completed,68,67,69,0,0,1,0
10.42.0.211-103.235.46.211-43529-443-6,22,female,standard,bachelor's degree,Comm&Mgmt,group C,completed,59,64,75,0,1,1,0
10.42.0.211-69.147.89.13-50047-443-6,22,male,standard,high school,Sci&Tech,group C,none,71,66,65,0,0,1,0
10.42.0.211-10.42.0.1-40514-53-17,22,female,standard,master's degree,Comm&Mgmt,group D,completed,77,82,91,0,0,1,1
10.42.0.211-115.239.210.141-44620-80-6,22,male,standard,associate's degree,Sci&Tech,group C,none,83,72,78,1,0,1,0
10.42.0.211-10.42.0.1-41677-53-17,21,male,standard,bachelor's degree,Comm&Mgmt,group B,none,63,71,69,0,1,1,0
208.80.154.224-10.42.0.211-443-57831-6,21,female,free/reduced,associate's degree,Comm&Mgmt,group D,none,56,65,63,1,0,1,0
172.217.12.142-10.42.0.151-443-43692-6,21,female,free/reduced,high school,Comm&Mgmt,group C,completed,67,79,84,0,0,1,1
180.149.136.194-10.42.0.211-80-52232-6,21,female,standard,high school,Sci&Tech,group E,none,75,86,79,0,0,0,0
10.42.0.211-66.231.239.95-46115-443-6,21,female,standard,master's degree,Sci&Tech,group C,none,71,81,80,2,0,0,0
172.217.10.14-10.42.0.42-443-49244-6,22,female,free/reduced,some high school,Sci&Tech,group C,none,43,53,53,0,1,1,1
192.229.163.180-10.42.0.211-443-41122-6,21,female,free/reduced,high school,Comm&Mgmt,group C,none,41,46,43,1,1,1,0
10.42.0.151-104.244.43.131-49746-443-6,22,female,standard,master's degree,Comm&Mgmt,group C,none,82,90,94,0,0,1,0
10.42.0.211-50.18.174.184-56817-443-6,21,male,standard,master's degree,Sci&Tech,group C,none,61,61,62,1,0,1,0
10.42.0.211-54.192.36.192-42888-443-6,21,male,free/reduced,master's degree,Sci&Tech,group A,none,28,23,19,0,0,0,0
151.101.1.140-10.42.0.211-443-34098-6,22,male,standard,associate's degree,Comm&Mgmt,group C,completed,82,75,77,1,1,0,0
10.42.0.211-77.234.42.92-42405-443-6,22,female,standard,some high school,Sci&Tech,group B,none,41,55,51,0,0,1,0
172.217.10.78-10.42.0.151-443-36061-6,21,male,standard,high school,Others,group C,none,71,60,61,1,0,1,1
10.42.0.42-36.110.213.49-44115-443-6,22,male,standard,associate's degree,Comm&Mgmt,group C,none,47,37,35,0,0,0,0
172.217.10.142-10.42.0.151-80-43568-6,22,male,standard,associate's degree,Comm&Mgmt,group E,completed,62,56,53,0,0,0,0
10.42.0.211-108.179.252.22-53530-80-6,21,male,standard,associate's degree,Others,group B,none,90,78,81,0,0,1,0
10.42.0.211-98.139.199.204-56348-443-6,22,female,standard,bachelor's degree,Comm&Mgmt,group C,none,83,93,95,0,1,1,1
220.243.219.55-10.42.0.42-80-48091-6,22,female,free/reduced,master's degree,Sci&Tech,group B,none,61,68,66,0,1,1,1
10.42.0.211-66.198.24.240-33194-80-6,21,male,standard,some high school,Comm&Mgmt,group D,completed,76,70,69,0,0,0,1
10.42.0.211-64.71.142.125-47202-443-6,21,male,standard,associate's degree,Comm&Mgmt,group C,none,49,51,43,1,0,1,0
10.42.0.151-72.21.207.148-35455-443-6,22,female,free/reduced,some high school,Comm&Mgmt,group B,none,24,38,27,2,1,1,0
10.42.0.151-104.244.43.99-41250-443-6,22,female,free/reduced,some high school,Comm&Mgmt,group D,completed,35,55,60,0,0,1,0
10.42.0.42-104.192.110.245-53717-80-6,21,male,free/reduced,high school,Comm&Mgmt,group C,none,58,61,52,1,0,1,0
10.42.0.211-59.38.112.48-40129-443-6,22,female,standard,high school,Others,group C,none,61,73,63,0,0,1,1
203.90.242.126-10.42.0.211-80-58187-6,21,female,standard,high school,Comm&Mgmt,group B,completed,69,76,74,0,0,1,0
172.217.12.195-10.42.0.42-443-47263-6,22,male,standard,associate's degree,Comm&Mgmt,group D,completed,67,72,67,1,0,0,0
10.42.0.211-10.42.0.1-1519-53-17,22,male,standard,master's degree,Sci&Tech,group D,none,79,73,67,1,0,1,1
172.217.10.106-10.42.0.211-443-51779-6,22,female,standard,high school,Sci&Tech,group C,none,72,80,75,0,1,1,0
172.217.12.195-10.42.0.211-443-34404-6,21,male,standard,master's degree,Others,group B,none,62,61,57,0,1,0,0
10.42.0.42-23.217.155.120-44288-80-6,21,female,standard,bachelor's degree,Comm&Mgmt,group C,completed,77,94,95,1,0,1,0
10.42.0.211-104.244.43.3-49157-443-6,21,male,free/reduced,high school,Comm&Mgmt,group D,none,75,74,66,0,0,1,1
10.42.0.211-54.230.51.73-58848-80-6,22,male,standard,associate's degree,Comm&Mgmt,group E,none,87,74,76,1,1,1,0
10.42.0.151-104.244.43.195-40364-443-6,22,female,standard,bachelor's degree,Sci&Tech,group B,none,52,65,69,1,0,1,0
10.42.0.211-23.206.166.66-47498-80-6,21,male,standard,master's degree,Comm&Mgmt,group E,none,66,57,52,1,1,0,1
157.55.130.167-10.42.0.151-40019-48848-6,21,female,standard,master's degree,Comm&Mgmt,group C,completed,63,78,80,0,1,0,0
10.42.0.42-47.89.69.217-46952-80-6,21,female,standard,associate's degree,Comm&Mgmt,group C,none,46,58,57,0,0,1,0
10.42.0.151-103.235.46.212-55190-443-6,22,female,standard,master's degree,Comm&Mgmt,group C,none,59,71,70,0,0,0,0
172.217.6.194-10.42.0.211-443-60344-6,22,female,standard,bachelor's degree,Comm&Mgmt,group B,none,61,72,70,0,0,1,0
10.42.0.211-52.52.43.76-44578-443-6,21,male,standard,associate's degree,Comm&Mgmt,group A,none,63,61,61,2,0,0,1
10.42.0.42-36.110.213.49-42610-80-6,22,female,free/reduced,master's degree,Comm&Mgmt,group C,completed,42,66,69,0,0,1,0
151.101.21.140-10.42.0.211-80-35804-6,21,male,free/reduced,master's degree,Comm&Mgmt,group D,none,59,62,61,1,0,1,0
10.42.0.1-10.42.0.42-53-58923-17,22,female,standard,master's degree,Sci&Tech,group D,none,80,90,89,0,1,0,1
172.217.3.110-10.42.0.42-443-34279-6,22,female,standard,high school,Comm&Mgmt,group B,none,58,62,59,0,0,1,0
10.42.0.151-108.174.11.1-39085-80-6,21,male,standard,some high school,Comm&Mgmt,group B,completed,85,84,78,1,0,1,0
10.42.0.211-23.206.166.66-34027-80-6,22,female,standard,master's degree,Comm&Mgmt,group C,none,52,58,58,0,0,1,0
10.42.0.151-10.42.0.1-57527-53-17,21,female,free/reduced,some high school,Comm&Mgmt,group D,none,27,34,32,0,0,0,0
172.217.12.142-10.42.0.211-443-56154-6,21,male,standard,master's degree,Comm&Mgmt,group C,none,59,60,58,1,0,1,0
174.35.73.136-10.42.0.211-443-53187-6,22,male,free/reduced,bachelor's degree,Others,group A,completed,49,58,60,0,0,0,0
10.42.0.211-64.71.142.110-42651-80-6,22,male,standard,high school,Comm&Mgmt,group C,completed,69,58,53,1,0,0,1
174.129.31.175-10.42.0.211-443-33615-6,21,male,free/reduced,bachelor's degree,Sci&Tech,group C,none,61,66,61,0,0,1,0
10.42.0.211-36.110.213.49-41635-443-6,21,female,free/reduced,some high school,Comm&Mgmt,group A,none,44,64,58,0,0,0,1
10.42.0.211-104.97.95.172-43866-80-6,21,female,standard,some high school,Comm&Mgmt,group D,none,73,84,85,0,0,1,0
10.42.0.42-66.102.255.61-47334-443-6,22,male,standard,master's degree,Comm&Mgmt,group E,none,84,77,71,2,0,1,1
10.42.0.211-123.125.29.138-46657-80-6,21,female,free/reduced,master's degree,Comm&Mgmt,group C,completed,45,73,70,1,1,0,0
172.217.11.10-10.42.0.211-443-52664-6,22,male,standard,some high school,Comm&Mgmt,group D,none,74,74,72,0,0,0,0
172.217.12.206-10.42.0.151-443-56498-6,22,female,standard,master's degree,Others,group D,completed,82,97,96,0,0,1,0
173.241.242.143-10.42.0.151-443-52167-6,22,female,standard,bachelor's degree,Comm&Mgmt,group D,none,59,70,73,1,1,1,0
10.42.0.211-10.42.0.1-61196-53-17,22,male,free/reduced,associate's degree,Comm&Mgmt,group E,none,46,43,41,0,0,1,1
10.42.0.42-23.192.4.224-34391-80-6,21,female,standard,some high school,Others,group D,none,80,90,82,0,1,1,1
222.73.28.96-10.42.0.151-80-55804-6,21,female,free/reduced,master's degree,Comm&Mgmt,group D,completed,85,95,100,0,0,0,0
10.42.0.151-40.78.68.158-38528-443-6,21,female,standard,some high school,Sci&Tech,group A,none,71,83,77,1,1,1,1
172.217.7.195-10.42.0.211-443-37278-6,22,male,standard,bachelor's degree,Comm&Mgmt,group A,none,66,64,62,0,0,1,1
10.42.0.211-64.71.142.124-54514-443-6,21,female,standard,associate's degree,Comm&Mgmt,group B,none,80,86,83,0,0,1,1
10.42.0.211-107.20.205.68-59502-443-6,22,male,standard,associate's degree,Comm&Mgmt,group C,completed,87,100,95,0,0,1,1
172.217.12.170-10.42.0.151-443-44855-6,21,male,free/reduced,master's degree,Comm&Mgmt,group C,none,79,81,71,0,0,1,0
10.42.0.211-106.11.92.14-48358-443-6,21,female,free/reduced,some high school,Comm&Mgmt,group E,none,38,49,45,1,1,0,1
172.217.3.106-10.42.0.211-443-46922-6,22,female,free/reduced,some high school,Comm&Mgmt,group A,none,38,43,43,1,0,0,0
10.42.0.211-10.42.0.1-35670-53-17,21,female,standard,master's degree,Comm&Mgmt,group E,none,67,76,75,0,0,1,0
10.42.0.151-64.71.142.124-45312-443-6,21,female,standard,bachelor's degree,Comm&Mgmt,group E,none,64,73,70,1,0,1,0
216.58.219.234-10.42.0.151-443-40262-6,22,female,free/reduced,associate's degree,Comm&Mgmt,group C,none,57,78,67,1,1,1,1
157.55.56.163-10.42.0.151-40027-43477-17,22,female,standard,high school,Sci&Tech,group D,none,62,64,64,0,0,0,0
172.217.8.3-10.42.0.211-443-46466-6,22,male,standard,master's degree,Comm&Mgmt,group D,none,73,70,75,0,0,0,0
10.42.0.211-10.42.0.1-10839-53-17,22,male,free/reduced,some high school,Comm&Mgmt,group E,completed,73,67,59,0,0,0,1
219.142.78.162-10.42.0.151-443-46189-6,22,female,standard,master's degree,Comm&Mgmt,group D,none,77,68,77,0,1,1,0
172.217.3.110-10.42.0.211-443-46827-6,21,male,standard,master's degree,Sci&Tech,group E,none,76,67,67,0,0,0,0
10.42.0.42-52.84.40.147-41193-80-6,22,male,standard,associate's degree,Comm&Mgmt,group C,completed,57,54,56,1,0,1,0
10.42.0.211-23.206.166.66-59803-80-6,21,female,standard,some high school,Sci&Tech,group C,completed,65,74,77,0,1,1,0
172.217.12.206-10.42.0.151-443-47180-6,21,male,free/reduced,high school,Sci&Tech,group A,none,48,45,41,1,0,0,1
10.42.0.211-23.21.95.195-44204-443-6,21,female,free/reduced,high school,Comm&Mgmt,group B,none,50,67,63,1,1,1,0
10.42.0.42-123.125.29.220-46714-80-6,21,female,standard,associate's degree,Comm&Mgmt,group C,none,85,89,95,2,0,1,0
172.217.9.234-10.42.0.151-443-36582-6,21,male,standard,some high school,Sci&Tech,group B,none,74,63,57,2,0,0,1
10.42.0.211-52.20.190.244-51410-443-6,21,male,standard,some high school,Sci&Tech,group D,none,60,59,54,0,0,0,0
10.42.0.211-66.102.255.61-50926-80-6,22,female,standard,some high school,Sci&Tech,group C,completed,59,54,67,0,0,0,0
173.222.150.38-10.42.0.211-443-37092-6,22,male,standard,master's degree,Comm&Mgmt,group A,none,53,43,43,1,0,1,0
10.42.0.211-10.42.0.1-3579-53-17,21,female,free/reduced,master's degree,Comm&Mgmt,group A,none,49,65,55,1,0,1,0
180.149.134.142-10.42.0.211-80-32768-6,21,female,standard,high school,Comm&Mgmt,group D,completed,88,99,100,1,1,1,0
10.42.0.211-103.235.46.211-56421-443-6,21,female,standard,high school,Comm&Mgmt,group C,none,54,59,62,0,1,1,0
10.42.0.151-10.42.0.1-57068-53-17,22,female,standard,some high school,Comm&Mgmt,group C,none,63,73,68,1,0,0,1
10.42.0.211-10.42.0.1-61816-53-17,21,male,standard,associate's degree,Sci&Tech,group B,completed,65,65,63,1,1,0,0
172.217.7.10-10.42.0.211-443-53944-6,21,female,standard,associate's degree,Sci&Tech,group B,none,82,80,77,2,1,0,1
172.217.10.10-10.42.0.151-443-35139-6,21,female,free/reduced,high school,Comm&Mgmt,group D,completed,52,57,56,2,0,1,0
10.42.0.211-38.69.238.10-55071-80-6,22,male,standard,associate's degree,Comm&Mgmt,group D,completed,87,84,85,0,0,0,1
10.42.0.1-10.42.0.42-53-26342-17,21,female,standard,master's degree,Sci&Tech,group D,completed,70,71,74,0,0,0,0
10.42.0.211-10.42.0.1-46904-53-17,22,male,standard,master's degree,Comm&Mgmt,group E,completed,84,83,78,2,0,1,0
172.217.12.195-10.42.0.42-443-40875-17,21,male,standard,associate's degree,Comm&Mgmt,group D,none,71,66,60,0,0,1,0
180.149.134.221-10.42.0.42-80-47737-6,21,male,standard,some high school,Others,group B,completed,63,67,67,1,1,1,0
202.77.129.161-10.42.0.42-80-43105-6,22,female,free/reduced,bachelor's degree,Comm&Mgmt,group C,completed,51,72,79,1,0,1,1
172.217.12.174-10.42.0.42-443-44726-6,22,male,standard,high school,Sci&Tech,group E,none,84,73,69,0,1,1,0
10.42.0.211-52.85.101.68-41900-443-6,22,male,standard,bachelor's degree,Comm&Mgmt,group C,completed,71,74,68,2,0,1,0
10.42.0.42-14.17.42.57-54296-80-6,21,male,standard,associate's degree,Sci&Tech,group C,none,74,73,67,0,0,0,0
174.35.73.168-10.42.0.42-80-52013-6,22,male,standard,master's degree,Comm&Mgmt,group D,none,68,59,62,0,1,1,1
10.42.0.211-10.42.0.1-57157-53-17,22,male,free/reduced,high school,Comm&Mgmt,group E,completed,57,56,54,0,0,1,0
202.77.129.150-10.42.0.211-80-57108-6,21,female,free/reduced,associate's degree,Others,group C,completed,82,93,93,0,0,1,0
10.42.0.211-31.13.71.36-52352-443-6,22,female,standard,high school,Comm&Mgmt,group D,completed,57,58,64,2,0,0,1
175.100.207.232-10.42.0.151-80-40339-6,22,female,free/reduced,master's degree,Comm&Mgmt,group D,completed,47,58,67,1,0,0,0
10.42.0.42-31.13.80.12-45203-443-6,21,female,standard,some high school,Comm&Mgmt,group A,completed,59,85,80,1,0,1,0
10.42.0.211-10.42.0.1-5021-53-17,22,male,free/reduced,master's degree,Comm&Mgmt,group B,none,41,39,34,0,1,1,0
175.100.207.231-10.42.0.151-80-43448-6,21,female,free/reduced,master's degree,Comm&Mgmt,group C,none,62,67,62,3,0,1,0
208.80.154.224-10.42.0.151-443-48304-6,22,male,standard,bachelor's degree,Comm&Mgmt,group C,none,86,83,86,0,1,1,0
10.42.0.42-66.198.24.250-38543-443-6,21,male,free/reduced,some high school,Sci&Tech,group C,none,69,71,65,0,0,1,0
10.42.0.211-10.42.0.1-22181-53-17,21,male,free/reduced,some high school,Comm&Mgmt,group A,none,65,59,53,0,1,0,1
